XCoord,YCoord,FID,OBJECTID,ED_ID,PD_NUMBER,PD_LABEL,ED_NAME_EN,ED_NAME_FR,SHAPE_LENG,SHAPE_AREA
1301599.37823833,5457758.69946896,25,37885,16.000000,19.000000,019,Cambridge,Cambridge,9849.522683,2699405.906250
1301625.65686624,5452459.22506960,26,37886,16.000000,56.000000,056,Cambridge,Cambridge,1894.951754,155832.728737
1295023.19173535,5456794.21490349,27,37887,16.000000,7.000000,007,Cambridge,Cambridge,4993.125884,1103015.561140
1298193.32316893,5454783.40479725,28,37888,16.000000,21.000000,021,Cambridge,Cambridge,3886.180391,423845.188726
1296801.34009275,5458580.49673168,29,37889,16.000000,8.000000,008,Cambridge,Cambridge,9204.178704,2599893.906030
1295712.97129318,5458227.51093830,30,37890,16.000000,701.000000,701,Cambridge,Cambridge,629.824239,15907.894925
1287270.73025699,5450904.03106063,31,37891,16.000000,1.000000,001,Cambridge,Cambridge,24010.956682,27693127.319000
1290090.56652837,5446801.43719340,32,37892,16.000000,41.000000,041,Cambridge,Cambridge,33373.069276,35623162.103400
1300598.53658658,5452479.69097181,33,37893,16.000000,51.000000,051,Cambridge,Cambridge,1872.182972,143729.619523
1305478.15704648,5455723.21599512,34,37894,16.000000,38.000000,038,Cambridge,Cambridge,19972.665862,17204413.362500
1301653.50405677,5456844.59603848,35,37895,16.000000,705.000000,705,Cambridge,Cambridge,363.290177,8481.971343
1300807.14973513,5455004.88672047,36,37896,16.000000,27.000000,027,Cambridge,Cambridge,6460.878193,1449553.872280
1298741.36102877,5452851.21091466,37,37897,16.000000,34.000000,034,Cambridge,Cambridge,2682.851223,262138.932367
1299847.51217434,5452716.83469610,38,37898,16.000000,47.000000,047,Cambridge,Cambridge,2239.767089,175489.170338
1298492.25194231,5456205.29859300,39,37899,16.000000,704.000000,704,Cambridge,Cambridge,392.454954,9701.191380
1297180.82455350,5456474.54922111,40,37900,16.000000,703.000000,703,Cambridge,Cambridge,241.724967,3063.493150
1297997.60755372,5455403.30785206,41,37901,16.000000,706.000000,706,Cambridge,Cambridge,1279.543152,79119.145109
1298109.59698459,5451766.62559226,42,37902,16.000000,709.000000,709,Cambridge,Cambridge,789.915350,33183.289861
1298880.47698417,5454756.32387520,43,37903,16.000000,23.000000,023,Cambridge,Cambridge,4806.876321,659429.219894
1300359.52417217,5456440.43294789,44,37904,16.000000,17.000000,017,Cambridge,Cambridge,3126.038440,465502.103335
1299874.58157164,5454794.77869840,45,37905,16.000000,25.000000,025,Cambridge,Cambridge,1964.997272,139014.028617
1299479.75293952,5458469.94340092,46,37906,16.000000,11.000000,011,Cambridge,Cambridge,14260.645303,8946341.763600
1299801.62271065,5455125.80010614,47,37907,16.000000,24.000000,024,Cambridge,Cambridge,1744.447656,112279.989193
1300766.39445340,5453001.88212747,48,37908,16.000000,53.000000,053,Cambridge,Cambridge,5789.453853,929823.039276
1300376.06099291,5452179.44186646,49,37909,16.000000,50.000000,050,Cambridge,Cambridge,3340.182345,397447.906529
1298418.88430744,5452971.65926678,50,37910,16.000000,33.000000,033,Cambridge,Cambridge,2133.657693,174578.165363
1302126.06995876,5456050.14972818,51,37911,16.000000,28.000000,028,Cambridge,Cambridge,11255.767849,3879074.668570
1293562.79794255,5456909.04850912,52,37912,16.000000,3.000000,003,Cambridge,Cambridge,6426.188626,1050413.238970
1300254.70585858,5452824.73803215,53,37913,16.000000,48.000000,048,Cambridge,Cambridge,1610.396295,162826.827058
1293990.62225516,5456924.86027775,54,37914,16.000000,700.000000,700,Cambridge,Cambridge,349.769931,5081.751485
1169633.97111742,5333682.93190157,55,37915,18.000000,50.000000,050,Chatham-Kent—Leamington,Chatham-Kent—Leamington,52579.553766,87962830.522700
1150320.68639098,5343237.59403572,56,37916,18.000000,31.000000,031,Chatham-Kent—Leamington,Chatham-Kent—Leamington,11890.261745,2232702.992220
1117196.60541579,5298580.05562985,57,37917,18.000000,707.000000,707,Chatham-Kent—Leamington,Chatham-Kent—Leamington,518.780920,10418.259826
1177809.79690394,5336027.12645558,58,37918,18.000000,53.000000,053,Chatham-Kent—Leamington,Chatham-Kent—Leamington,74302.966915,202106942.962000
1162542.99422657,5346179.26272288,59,37919,18.000000,44.000000,044,Chatham-Kent—Leamington,Chatham-Kent—Leamington,31580.429169,44641680.166800
1164067.78049080,5337488.37958442,60,37920,18.000000,46.000000,046,Chatham-Kent—Leamington,Chatham-Kent—Leamington,50853.631053,94689566.274400
1116859.49562784,5308708.70169073,61,37921,18.000000,3.000000,003,Chatham-Kent—Leamington,Chatham-Kent—Leamington,41779.878452,87411265.724900
1141732.10948123,5333039.96174934,62,37922,18.000000,15.000000,015,Chatham-Kent—Leamington,Chatham-Kent—Leamington,38375.519124,63367146.152100
1150270.26552022,5340852.42877802,63,37923,18.000000,34.000000,034,Chatham-Kent—Leamington,Chatham-Kent—Leamington,5762.745031,1189184.274450
1136324.28456157,5322934.63931117,64,37924,18.000000,12.000000,012,Chatham-Kent—Leamington,Chatham-Kent—Leamington,61895.358303,144827359.543000
1146424.29695532,5341306.42717825,65,37925,18.000000,18.000000,018,Chatham-Kent—Leamington,Chatham-Kent—Leamington,5548.535840,1400268.609340
1150324.94803293,5331231.85638938,66,37926,18.000000,17.000000,017,Chatham-Kent—Leamington,Chatham-Kent—Leamington,25624.360572,35587216.487000
1149394.22601241,5342410.00981520,67,37927,18.000000,30.000000,030,Chatham-Kent—Leamington,Chatham-Kent—Leamington,7071.349583,1451169.522110
1146907.72015722,5340513.37045255,68,37928,18.000000,20.000000,020,Chatham-Kent—Leamington,Chatham-Kent—Leamington,2605.683612,337164.463765
1151183.97942423,5340947.95024581,69,37929,18.000000,38.000000,038,Chatham-Kent—Leamington,Chatham-Kent—Leamington,3233.689311,455495.912330
1117240.04556940,5300301.49663528,70,37930,18.000000,7.000000,007,Chatham-Kent—Leamington,Chatham-Kent—Leamington,8804.569642,1651523.460170
1121826.62255477,5294251.48990750,71,37931,18.000000,9.000000,009,Chatham-Kent—Leamington,Chatham-Kent—Leamington,66219.511221,161273285.221000
